"Component Id",value,time,"Component Name"
16,36,"2013-06-29 10:40:00","Self Power Production"
13,0,"2013-06-29 10:40:00","Light Power Consumption"
15,4,"2013-06-29 10:40:00","Appliance Power Consumption"
5,26,"2013-06-29 10:40:00","bed room temp"
14,0,"2013-06-29 10:40:00","AC Power Consumption"
15,4,"2013-06-29 11:00:00","Appliance Power Consumption"
5,26,"2013-06-29 11:00:00","bed room temp"
14,0,"2013-06-29 11:00:00","AC Power Consumption"
6,26,"2013-06-29 11:00:00","Salon temp"
16,41,"2013-06-29 11:00:00","Self Power Production"
13,0,"2013-06-29 11:00:00","Light Power Consumption"
16,44,"2013-06-29 11:20:00","Self Power Production"
13,0,"2013-06-29 11:20:00","Light Power Consumption"
15,4,"2013-06-29 11:20:00","Appliance Power Consumption"
5,27,"2013-06-29 11:20:00","bed room temp"
14,0,"2013-06-29 11:20:00","AC Power Consumption"
6,27,"2013-06-29 11:20:00","Salon temp"
5,27,"2013-06-29 11:40:00","bed room temp"
14,0,"2013-06-29 11:40:00","AC Power Consumption"
6,27,"2013-06-29 11:40:00","Salon temp"
16,46,"2013-06-29 11:40:00","Self Power Production"
13,0,"2013-06-29 11:40:00","Light Power Consumption"
15,4,"2013-06-29 11:40:00","Appliance Power Consumption"
13,0,"2013-06-29 12:00:00","Light Power Consumption"
15,4,"2013-06-29 12:00:00","Appliance Power Consumption"
5,27,"2013-06-29 12:00:00","bed room temp"
14,0,"2013-06-29 12:00:00","AC Power Consumption"
6,27,"2013-06-29 12:00:00","Salon temp"
16,47,"2013-06-29 12:00:00","Self Power Production"
6,28,"2013-06-29 12:20:00","Salon temp"
16,48,"2013-06-29 12:20:00","Self Power Production"
13,0,"2013-06-29 12:20:00","Light Power Consumption"
15,4,"2013-06-29 12:20:00","Appliance Power Consumption"
5,28,"2013-06-29 12:20:00","bed room temp"
14,0,"2013-06-29 12:20:00","AC Power Consumption"
15,4,"2013-06-29 12:40:00","Appliance Power Consumption"
5,28,"2013-06-29 12:40:00","bed room temp"
14,0,"2013-06-29 12:40:00","AC Power Consumption"
6,28,"2013-06-29 12:40:00","Salon temp"
16,49,"2013-06-29 12:40:00","Self Power Production"
13,0,"2013-06-29 12:40:00","Light Power Consumption"
16,50,"2013-06-29 13:00:00","Self Power Production"
13,0,"2013-06-29 13:00:00","Light Power Consumption"
15,4,"2013-06-29 13:00:00","Appliance Power Consumption"
5,28,"2013-06-29 13:00:00","bed room temp"
14,0,"2013-06-29 13:00:00","AC Power Consumption"
6,28,"2013-06-29 13:00:00","Salon temp"
5,28,"2013-06-29 13:20:00","bed room temp"
14,0,"2013-06-29 13:20:00","AC Power Consumption"
6,28,"2013-06-29 13:20:00","Salon temp"
16,50,"2013-06-29 13:20:00","Self Power Production"
13,9,"2013-06-29 13:20:00","Light Power Consumption"
15,4,"2013-06-29 13:20:00","Appliance Power Consumption"
13,9,"2013-06-29 13:40:00","Light Power Consumption"
15,4,"2013-06-29 13:40:00","Appliance Power Consumption"
5,29,"2013-06-29 13:40:00","bed room temp"
14,0,"2013-06-29 13:40:00","AC Power Consumption"
6,29,"2013-06-29 13:40:00","Salon temp"
16,51,"2013-06-29 13:40:00","Self Power Production"
14,0,"2013-06-29 14:00:00","AC Power Consumption"
6,29,"2013-06-29 14:00:00","Salon temp"
16,50,"2013-06-29 14:00:00","Self Power Production"
13,0,"2013-06-29 14:00:00","Light Power Consumption"
15,4,"2013-06-29 14:00:00","Appliance Power Consumption"
5,29,"2013-06-29 14:00:00","bed room temp"
15,4,"2013-06-29 14:20:00","Appliance Power Consumption"
5,29,"2013-06-29 14:20:00","bed room temp"
14,0,"2013-06-29 14:20:00","AC Power Consumption"
6,29,"2013-06-29 14:20:00","Salon temp"
16,50,"2013-06-29 14:20:00","Self Power Production"
13,0,"2013-06-29 14:20:00","Light Power Consumption"
16,49,"2013-06-29 14:40:00","Self Power Production"
13,9,"2013-06-29 14:40:00","Light Power Consumption"
15,4,"2013-06-29 14:40:00","Appliance Power Consumption"
5,29,"2013-06-29 14:40:00","bed room temp"
14,0,"2013-06-29 14:40:00","AC Power Consumption"
6,29,"2013-06-29 14:40:00","Salon temp"
15,4,"2013-06-29 15:00:00","Appliance Power Consumption"
5,29,"2013-06-29 15:00:00","bed room temp"
14,0,"2013-06-29 15:00:00","AC Power Consumption"
6,29,"2013-06-29 15:00:00","Salon temp"
16,50,"2013-06-29 15:00:00","Self Power Production"
13,9,"2013-06-29 15:00:00","Light Power Consumption"
13,0,"2013-06-29 15:20:00","Light Power Consumption"
15,4,"2013-06-29 15:20:00","Appliance Power Consumption"
5,29,"2013-06-29 15:20:00","bed room temp"
14,0,"2013-06-29 15:20:00","AC Power Consumption"
6,29,"2013-06-29 15:20:00","Salon temp"
16,47,"2013-06-29 15:20:00","Self Power Production"
14,0,"2013-06-29 15:40:00","AC Power Consumption"
6,29,"2013-06-29 15:40:00","Salon temp"
16,46,"2013-06-29 15:40:00","Self Power Production"
13,0,"2013-06-29 15:40:00","Light Power Consumption"
15,4,"2013-06-29 15:40:00","Appliance Power Consumption"
5,29,"2013-06-29 15:40:00","bed room temp"
15,4,"2013-06-29 16:00:00","Appliance Power Consumption"
5,29,"2013-06-29 16:00:00","bed room temp"
14,0,"2013-06-29 16:00:00","AC Power Consumption"
6,29,"2013-06-29 16:00:00","Salon temp"
16,43,"2013-06-29 16:00:00","Self Power Production"
13,0,"2013-06-29 16:00:00","Light Power Consumption"
16,40,"2013-06-29 16:20:00","Self Power Production"
13,9,"2013-06-29 16:20:00","Light Power Consumption"
15,4,"2013-06-29 16:20:00","Appliance Power Consumption"
5,29,"2013-06-29 16:20:00","bed room temp"
14,0,"2013-06-29 16:20:00","AC Power Consumption"
6,29,"2013-06-29 16:20:00","Salon temp"
15,4,"2013-06-29 16:40:00","Appliance Power Consumption"
5,29,"2013-06-29 16:40:00","bed room temp"
14,0,"2013-06-29 16:40:00","AC Power Consumption"
6,29,"2013-06-29 16:40:00","Salon temp"
16,38,"2013-06-29 16:40:00","Self Power Production"
13,0,"2013-06-29 16:40:00","Light Power Consumption"
13,0,"2013-06-29 17:00:00","Light Power Consumption"
15,4,"2013-06-29 17:00:00","Appliance Power Consumption"
5,28,"2013-06-29 17:00:00","bed room temp"
14,0,"2013-06-29 17:00:00","AC Power Consumption"
6,28,"2013-06-29 17:00:00","Salon temp"
16,32,"2013-06-29 17:00:00","Self Power Production"
14,250,"2013-06-29 17:20:00","AC Power Consumption"
6,27,"2013-06-29 17:20:00","Salon temp"
16,29,"2013-06-29 17:20:00","Self Power Production"
13,0,"2013-06-29 17:20:00","Light Power Consumption"
15,6,"2013-06-29 17:20:00","Appliance Power Consumption"
5,27,"2013-06-29 17:20:00","bed room temp"
13,0,"2013-06-29 17:40:00","Light Power Consumption"
15,6,"2013-06-29 17:40:00","Appliance Power Consumption"
5,26,"2013-06-29 17:40:00","bed room temp"
14,250,"2013-06-29 17:40:00","AC Power Consumption"
6,26,"2013-06-29 17:40:00","Salon temp"
16,26,"2013-06-29 17:40:00","Self Power Production"
